hg38_ENSG00000243485	hg38_RP11-34P13.3
hg38_ENSG00000237613	hg38_FAM138A
hg38_ENSG00000186092	hg38_OR4F5
hg38_ENSG00000238009	hg38_RP11-34P13.7
hg38_ENSG00000239945	hg38_RP11-34P13.8
hg38_ENSG00000239906	hg38_RP11-34P13.14
hg38_ENSG00000241599	hg38_RP11-34P13.9
hg38_ENSG00000279928	hg38_FO538757.3
hg38_ENSG00000279457	hg38_FO538757.2
hg38_ENSG00000228463	hg38_AP006222.2
hg38_ENSG00000236743	hg38_RP5-857K21.15
hg38_ENSG00000236601	hg38_RP4-669L17.2
hg38_ENSG00000237094	hg38_RP4-669L17.10
hg38_ENSG00000278566	hg38_OR4F29
hg38_ENSG00000230021	hg38_RP5-857K21.4
hg38_ENSG00000235146	hg38_RP5-857K21.2
hg38_ENSG00000273547	hg38_OR4F16
hg38_ENSG00000229905	hg38_RP11-206L10.4
hg38_ENSG00000237491	hg38_RP11-206L10.9
hg38_ENSG00000177757	hg38_FAM87B
hg38_ENSG00000225880	hg38_LINC00115
hg38_ENSG00000230368	hg38_FAM41C
hg38_ENSG00000272438	hg38_RP11-54O7.16
hg38_ENSG00000230699	hg38_RP11-54O7.1
hg38_ENSG00000241180	hg38_RP11-54O7.2
hg38_ENSG00000223764	hg38_RP11-54O7.3
hg38_ENSG00000187634	hg38_SAMD11
hg38_ENSG00000188976	hg38_NOC2L
hg38_ENSG00000187961	hg38_KLHL17
hg38_ENSG00000187583	hg38_PLEKHN1
hg38_ENSG00000187642	hg38_PERM1
hg38_ENSG00000272512	hg38_RP11-54O7.17
hg38_ENSG00000188290	hg38_HES4
hg38_ENSG00000187608	hg38_ISG15
hg38_ENSG00000224969	hg38_RP11-54O7.11
hg38_ENSG00000188157	hg38_AGRN
hg38_ENSG00000273443	hg38_RP11-54O7.18
hg38_ENSG00000237330	hg38_RNF223
hg38_ENSG00000131591	hg38_C1orf159
hg38_ENSG00000223823	hg38_LINC01342
hg38_ENSG00000272141	hg38_RP11-465B22.8
hg38_ENSG00000205231	hg38_TTLL10-AS1
hg38_ENSG00000162571	hg38_TTLL10
hg38_ENSG00000186891	hg38_TNFRSF18
hg38_ENSG00000186827	hg38_TNFRSF4
hg38_ENSG00000078808	hg38_SDF4
hg38_ENSG00000176022	hg38_B3GALT6
hg38_ENSG00000184163	hg38_FAM132A
hg38_ENSG00000260179	hg38_RP5-902P8.12
hg38_ENSG00000160087	hg38_UBE2J2
hg38_ENSG00000230415	hg38_RP5-902P8.10
hg38_ENSG00000162572	hg38_SCNN1D
hg38_ENSG00000131584	hg38_ACAP3
hg38_ENSG00000169972	hg38_PUSL1
hg38_ENSG00000127054	hg38_CPSF3L
hg38_ENSG00000224051	hg38_CPTP
hg38_ENSG00000169962	hg38_TAS1R3
hg38_ENSG00000107404	hg38_DVL1
hg38_ENSG00000162576	hg38_MXRA8
hg38_ENSG00000175756	hg38_AURKAIP1
hg38_ENSG00000221978	hg38_CCNL2
hg38_ENSG00000242485	hg38_MRPL20
hg38_ENSG00000272455	hg38_RP4-758J18.13
hg38_ENSG00000235098	hg38_ANKRD65
hg38_ENSG00000225905	hg38_RP4-758J18.7
hg38_ENSG00000205116	hg38_TMEM88B
hg38_ENSG00000225285	hg38_RP4-758J18.10
hg38_ENSG00000179403	hg38_VWA1
hg38_ENSG00000215915	hg38_ATAD3C
hg38_ENSG00000160072	hg38_ATAD3B
hg38_ENSG00000197785	hg38_ATAD3A
hg38_ENSG00000205090	hg38_TMEM240
hg38_ENSG00000160075	hg38_SSU72
hg38_ENSG00000215014	hg38_RP5-832C2.5
hg38_ENSG00000279244	hg38_AL645728.1
hg38_ENSG00000228594	hg38_C1orf233
hg38_ENSG00000272106	hg38_RP11-345P4.9
hg38_ENSG00000197530	hg38_MIB2
hg38_ENSG00000189409	hg38_MMP23B
hg38_ENSG00000248333	hg38_CDK11B
hg38_ENSG00000272004	hg38_RP11-345P4.10
hg38_ENSG00000189339	hg38_SLC35E2B
hg38_ENSG00000269737	hg38_RP11-345P4.7
hg38_ENSG00000008128	hg38_CDK11A
hg38_ENSG00000215790	hg38_SLC35E2
hg38_ENSG00000008130	hg38_NADK
hg38_ENSG00000078369	hg38_GNB1
hg38_ENSG00000231050	hg38_RP1-140A9.1
hg38_ENSG00000169885	hg38_CALML6
hg38_ENSG00000178821	hg38_TMEM52
hg38_ENSG00000142609	hg38_CFAP74
hg38_ENSG00000233542	hg38_RP11-547D24.1
hg38_ENSG00000187730	hg38_GABRD
hg38_ENSG00000226969	hg38_RP11-547D24.3
hg38_ENSG00000067606	hg38_PRKCZ
hg38_ENSG00000271806	hg38_RP5-892K4.1
hg38_ENSG00000182873	hg38_RP11-181G12.2
hg38_ENSG00000162585	hg38_FAAP20
hg38_ENSG00000234396	hg38_RP11-181G12.4
hg38_ENSG00000157933	hg38_SKI
hg38_ENSG00000116151	hg38_MORN1
hg38_ENSG00000157916	hg38_RER1
hg38_ENSG00000157911	hg38_PEX10
hg38_ENSG00000149527	hg38_PLCH2
hg38_ENSG00000224387	hg38_RP3-395M20.2
hg38_ENSG00000229393	hg38_RP3-395M20.3
hg38_ENSG00000157881	hg38_PANK4
hg38_ENSG00000197921	hg38_HES5
hg38_ENSG00000272449	hg38_RP3-395M20.12
hg38_ENSG00000238164	hg38_RP3-395M20.8
hg38_ENSG00000157873	hg38_TNFRSF14
hg38_ENSG00000228037	hg38_RP3-395M20.9
hg38_ENSG00000157870	hg38_FAM213B
hg38_ENSG00000142606	hg38_MMEL1
hg38_ENSG00000237058	hg38_RP13-436F16.1
hg38_ENSG00000215912	hg38_TTC34
hg38_ENSG00000233234	hg38_RP11-740P5.2
hg38_ENSG00000231630	hg38_RP11-740P5.3
hg38_ENSG00000169717	hg38_ACTRT2
hg38_ENSG00000177133	hg38_LINC00982
hg38_ENSG00000142611	hg38_PRDM16
hg38_ENSG00000226286	hg38_RP1-163G9.2
hg38_ENSG00000272235	hg38_RP11-22L13.1
hg38_ENSG00000130762	hg38_ARHGEF16
hg38_ENSG00000272088	hg38_RP11-168F9.2
hg38_ENSG00000162591	hg38_MEGF6
hg38_ENSG00000238260	hg38_RP11-46F15.2
hg38_ENSG00000158109	hg38_TPRG1L
hg38_ENSG00000116213	hg38_WRAP73
hg38_ENSG00000078900	hg38_TP73
hg38_ENSG00000227589	hg38_RP5-1092A11.5
hg38_ENSG00000235131	hg38_RP5-1092A11.2
hg38_ENSG00000227372	hg38_TP73-AS1
hg38_ENSG00000162592	hg38_CCDC27
